year,age,pcv13,ppv23
2015,55,4,6
2015,56,10,12
2015,57,6,9
2015,58,8,14
2015,59,5,10
2015,60,5,5
2015,61,11,16
2015,62,6,10
2015,63,2,7
2015,64,6,6
2015,65,1,6
2015,66,3,7
2015,67,4,5
2015,68,2,2
2015,69,3,6
2015,70,1,7
2015,71,4,9
2015,72,7,10
2015,73,4,6
2015,74,4,6
2015,75,4,5
2015,76,1,3
2015,77,2,2
2015,78,2,4
2015,79,1,1
2015,80,4,5
2015,81,3,5
2015,82,1,2
2015,83,1,1
2015,84,3,3
2015,85,0,0
2015,86,0,0
2015,87,2,3
2015,88,2,2
2015,89,1,1
2015,90,2,2
2015,91,1,2
2015,92,3,3
2015,93,1,1
2015,95,0,0
2015,99,1,1
2016,55,3,6
2016,56,2,7
2016,57,11,14
2016,58,4,9
2016,59,6,8
2016,60,9,14
2016,61,5,7
2016,62,3,5
2016,63,1,6
2016,64,5,8
2016,65,6,10
2016,66,6,5
2016,67,3,5
2016,68,4,6
2016,69,2,4
2016,70,4,6
2016,71,3,3
2016,72,3,5
2016,73,1,1
2016,74,5,7
2016,75,2,2
2016,76,2,5
2016,77,0,2
2016,78,2,3
2016,79,0,1
2016,80,1,3
2016,81,2,4
2016,82,2,2
2016,83,1,1
2016,84,4,5
2016,85,3,3
2016,86,2,3
2016,87,1,1
2016,88,0,0
2016,89,0,0
2016,90,0,0
2016,92,1,1
2016,93,1,1
2016,94,2,2
2016,99,0,1
2017,55,4,5
2017,56,4,5
2017,57,3,5
2017,58,2,5
2017,59,6,8
2017,60,4,12
2017,61,5,8
2017,62,4,7
2017,63,3,5
2017,64,3,5
2017,65,8,10
2017,66,4,5
2017,67,4,4
2017,68,3,5
2017,69,3,3
2017,70,1,5
2017,71,5,9
2017,72,8,8
2017,73,1,4
2017,74,1,2
2017,75,0,1
2017,76,4,6
2017,77,0,2
2017,78,1,4
2017,79,2,2
2017,80,4,3
2017,81,2,6
2017,82,2,3
2017,83,2,4
2017,84,0,2
2017,85,0,1
2017,86,1,2
2017,87,0,0
2017,88,3,4
2017,89,0,2
2017,90,2,2
2017,93,0,1
2017,94,1,1
