agegroup,serogroup,survyr,cases,incidence,oth_cases,oth_incidence,country
65-69,PCV13,2,78,3.1,78,3.1,England/Wales
70-74,PCV13,2,81,3.76,81,3.76,England/Wales
75-79,PCV13,2,94,5.35,94,5.35,England/Wales
80-84,PCV13,2,80,6.15,80,6.15,England/Wales
85+,PCV13,2,167,13.81,167,13.81,England/Wales
65-69,PPV23,2,235,9.32,235,9.32,England/Wales
70-74,PPV23,2,288,13.31,288,13.31,England/Wales
75-79,PPV23,2,254,14.4,254,14.4,England/Wales
80-84,PPV23,2,236,18.15,236,18.15,England/Wales
85+,PPV23,2,338,27.99,338,27.99,England/Wales
65-69,All serotypes,2,397,15.77,397,15.77,England/Wales
70-74,All serotypes,2,483,22.33,483,22.33,England/Wales
75-79,All serotypes,2,489,27.78,489,27.78,England/Wales
80-84,All serotypes,2,471,36.23,471,36.23,England/Wales
85+,All serotypes,2,786,65.11,786,65.11,England/Wales
55-59,PCV13,,,,,,Malawi
60-64,PCV13,,,,,,Malawi
65-69,PCV13,,,,,,Malawi
70-74,PCV13,,,,,,Malawi
75-79,PCV13,,,,,,Malawi
80-84,PCV13,,,,,,Malawi
85+,PCV13,,,,,,Malawi
55-59,PPV23,,,,,,Malawi
60-64,PPV23,,,,,,Malawi
65-69,PPV23,,,,,,Malawi
70-74,PPV23,,,,,,Malawi
75-79,PPV23,,,,,,Malawi
80-84,PPV23,,,,,,Malawi
85+,PPV23,,,,,,Malawi
55-59,All serotypes,,,,,,Malawi
60-64,All serotypes,,,,,,Malawi
65-69,All serotypes,,,,,,Malawi
70-74,All serotypes,,,,,,Malawi
75-79,All serotypes,,,,,,Malawi
80-84,All serotypes,,,,,,Malawi
85+,All serotypes,,,,,,Malawi
55-59,PCV13,,6,,87,,South Africa
60-64,PCV13,,6,,56,,South Africa
65-69,PCV13,,10,,65,,South Africa
70-74,PCV13,,2,,34,,South Africa
75-79,PCV13,,3,,30,,South Africa
80-84,PCV13,,4,,28,,South Africa
85+,PCV13,,1,,16,,South Africa
55-59,PPV23,,14,,111,,South Africa
60-64,PPV23,,12,,71,,South Africa
65-69,PPV23,,7,,65,,South Africa
70-74,PPV23,,4,,42,,South Africa
75-79,PPV23,,6,,33,,South Africa
80-84,PPV23,,1,,35,,South Africa
85+,PPV23,,2,,26,,South Africa
55-59,All serotypes,,20,,198,,South Africa
60-64,All serotypes,,18,,127,,South Africa
65-69,All serotypes,,17,,130,,South Africa
70-74,All serotypes,,6,,76,,South Africa
75-79,All serotypes,,9,,63,,South Africa
80-84,All serotypes,,5,,63,,South Africa
85+,All serotypes,,3,,42,,South Africa
55-59,PCV13,3,78,0.98,,,Brazil
60-64,PCV13,3,72,1.15,,,Brazil
65-69,PCV13,3,56,1.2,,,Brazil
70-74,PCV13,3,52,1.45,,,Brazil
75-79,PCV13,3,23,0.94,,,Brazil
80-84,PCV13,3,32,2.02,,,Brazil
85+,PCV13,3,30,2.51,,,Brazil
55-59,PPV23,3,123,1.54,,,Brazil
60-64,PPV23,3,121,1.93,,,Brazil
65-69,PPV23,3,83,1.78,,,Brazil
70-74,PPV23,3,88,2.45,,,Brazil
75-79,PPV23,3,43,1.75,,,Brazil
80-84,PPV23,3,49,3.09,,,Brazil
85+,PPV23,3,40,3.35,,,Brazil
55-59,All serotypes,3,201,2.52,,,Brazil
60-64,All serotypes,3,193,3.08,,,Brazil
65-69,All serotypes,3,139,2.99,,,Brazil
70-74,All serotypes,3,140,3.89,,,Brazil
75-79,All serotypes,3,66,2.68,,,Brazil
80-84,All serotypes,3,81,5.1,,,Brazil
85+,All serotypes,3,70,5.86,,,Brazil
