age,prop,measure,serogroup
54,6.65,OPA GMT,PPV23
54,155,OPA GMT,PPV23
57,77,OPA GMT,PPV23
57,262,OPA GMT,PPV23
57,539,OPA GMT,PPV23
57,619,OPA GMT,PPV23
60,150,OPA GMT,PPV23
61,6.62,OPA GMT,PPV23
62,172,OPA GMT,PPV23
62,210,OPA GMT,PPV23
62,377,OPA GMT,PPV23
62,398,OPA GMT,PPV23
62,377,OPA GMT,PPV23
63,65.6,OPA GMT,PPV23
63,264,OPA GMT,PPV23
65,115,OPA GMT,PPV23
65,377,OPA GMT,PPV23
66,173,OPA GMT,PPV23
70,55,OPA GMT,PPV23
70,81,OPA GMT,PPV23
70,173.17,OPA GMT,PPV23
70,200,OPA GMT,PPV23
72,171,OPA GMT,PPV23
72,392,OPA GMT,PPV23
77,104,OPA GMT,PPV23
77,146,OPA GMT,PPV23
88,67.6,OPA GMT,PPV23
67,107,OPA GMT,PCV13
75,98,OPA GMT,PCV13
85,67,OPA GMT,PCV13
55,0.54,VE,PPV23
65,0.36,VE,PPV23
75,0.3,VE,PPV23
