agey,serogroup,country,survyr,ipd
55,PCV13,Brazil,2015,4
56,PCV13,Brazil,2015,10
57,PCV13,Brazil,2015,6
58,PCV13,Brazil,2015,8
59,PCV13,Brazil,2015,5
60,PCV13,Brazil,2015,5
61,PCV13,Brazil,2015,11
62,PCV13,Brazil,2015,6
63,PCV13,Brazil,2015,2
64,PCV13,Brazil,2015,6
65,PCV13,Brazil,2015,1
66,PCV13,Brazil,2015,3
67,PCV13,Brazil,2015,4
68,PCV13,Brazil,2015,2
69,PCV13,Brazil,2015,3
70,PCV13,Brazil,2015,1
71,PCV13,Brazil,2015,4
72,PCV13,Brazil,2015,7
73,PCV13,Brazil,2015,4
74,PCV13,Brazil,2015,4
75,PCV13,Brazil,2015,4
76,PCV13,Brazil,2015,1
77,PCV13,Brazil,2015,2
78,PCV13,Brazil,2015,2
79,PCV13,Brazil,2015,1
80,PCV13,Brazil,2015,4
81,PCV13,Brazil,2015,3
82,PCV13,Brazil,2015,1
83,PCV13,Brazil,2015,1
84,PCV13,Brazil,2015,3
85,PCV13,Brazil,2015,0
86,PCV13,Brazil,2015,0
87,PCV13,Brazil,2015,2
88,PCV13,Brazil,2015,2
89,PCV13,Brazil,2015,1
90,PCV13,Brazil,2015,8
55,PCV15,Brazil,2015,4
56,PCV15,Brazil,2015,11
57,PCV15,Brazil,2015,7
58,PCV15,Brazil,2015,8
59,PCV15,Brazil,2015,7
60,PCV15,Brazil,2015,5
61,PCV15,Brazil,2015,13
62,PCV15,Brazil,2015,6
63,PCV15,Brazil,2015,3
64,PCV15,Brazil,2015,6
65,PCV15,Brazil,2015,2
66,PCV15,Brazil,2015,3
67,PCV15,Brazil,2015,4
68,PCV15,Brazil,2015,2
69,PCV15,Brazil,2015,3
70,PCV15,Brazil,2015,1
71,PCV15,Brazil,2015,6
72,PCV15,Brazil,2015,7
73,PCV15,Brazil,2015,4
74,PCV15,Brazil,2015,4
75,PCV15,Brazil,2015,4
76,PCV15,Brazil,2015,1
77,PCV15,Brazil,2015,2
78,PCV15,Brazil,2015,2
79,PCV15,Brazil,2015,1
80,PCV15,Brazil,2015,4
81,PCV15,Brazil,2015,3
82,PCV15,Brazil,2015,1
83,PCV15,Brazil,2015,1
84,PCV15,Brazil,2015,3
85,PCV15,Brazil,2015,0
86,PCV15,Brazil,2015,0
87,PCV15,Brazil,2015,2
88,PCV15,Brazil,2015,2
89,PCV15,Brazil,2015,1
90,PCV15,Brazil,2015,8
55,PCV20,Brazil,2015,6
56,PCV20,Brazil,2015,13
57,PCV20,Brazil,2015,7
58,PCV20,Brazil,2015,13
59,PCV20,Brazil,2015,9
60,PCV20,Brazil,2015,5
61,PCV20,Brazil,2015,16
62,PCV20,Brazil,2015,9
63,PCV20,Brazil,2015,7
64,PCV20,Brazil,2015,6
65,PCV20,Brazil,2015,3
66,PCV20,Brazil,2015,8
67,PCV20,Brazil,2015,6
68,PCV20,Brazil,2015,2
69,PCV20,Brazil,2015,6
70,PCV20,Brazil,2015,3
71,PCV20,Brazil,2015,8
72,PCV20,Brazil,2015,10
73,PCV20,Brazil,2015,6
74,PCV20,Brazil,2015,5
75,PCV20,Brazil,2015,5
76,PCV20,Brazil,2015,3
77,PCV20,Brazil,2015,2
78,PCV20,Brazil,2015,4
79,PCV20,Brazil,2015,1
80,PCV20,Brazil,2015,4
81,PCV20,Brazil,2015,5
82,PCV20,Brazil,2015,1
83,PCV20,Brazil,2015,1
84,PCV20,Brazil,2015,3
85,PCV20,Brazil,2015,0
86,PCV20,Brazil,2015,0
87,PCV20,Brazil,2015,3
88,PCV20,Brazil,2015,2
89,PCV20,Brazil,2015,1
90,PCV20,Brazil,2015,8
55,PPV23,Brazil,2015,6
56,PPV23,Brazil,2015,12
57,PPV23,Brazil,2015,9
58,PPV23,Brazil,2015,14
59,PPV23,Brazil,2015,10
60,PPV23,Brazil,2015,5
61,PPV23,Brazil,2015,16
62,PPV23,Brazil,2015,10
63,PPV23,Brazil,2015,7
64,PPV23,Brazil,2015,6
65,PPV23,Brazil,2015,6
66,PPV23,Brazil,2015,7
67,PPV23,Brazil,2015,5
68,PPV23,Brazil,2015,2
69,PPV23,Brazil,2015,6
70,PPV23,Brazil,2015,7
71,PPV23,Brazil,2015,9
72,PPV23,Brazil,2015,10
73,PPV23,Brazil,2015,6
74,PPV23,Brazil,2015,6
75,PPV23,Brazil,2015,5
76,PPV23,Brazil,2015,3
77,PPV23,Brazil,2015,2
78,PPV23,Brazil,2015,4
79,PPV23,Brazil,2015,1
80,PPV23,Brazil,2015,5
81,PPV23,Brazil,2015,5
82,PPV23,Brazil,2015,2
83,PPV23,Brazil,2015,1
84,PPV23,Brazil,2015,3
85,PPV23,Brazil,2015,0
86,PPV23,Brazil,2015,0
87,PPV23,Brazil,2015,3
88,PPV23,Brazil,2015,2
89,PPV23,Brazil,2015,1
90,PPV23,Brazil,2015,9
55,PCV13,Brazil,2016,3
56,PCV13,Brazil,2016,2
57,PCV13,Brazil,2016,11
58,PCV13,Brazil,2016,4
59,PCV13,Brazil,2016,6
60,PCV13,Brazil,2016,9
61,PCV13,Brazil,2016,5
62,PCV13,Brazil,2016,3
63,PCV13,Brazil,2016,1
64,PCV13,Brazil,2016,5
65,PCV13,Brazil,2016,6
66,PCV13,Brazil,2016,6
67,PCV13,Brazil,2016,3
68,PCV13,Brazil,2016,4
69,PCV13,Brazil,2016,2
70,PCV13,Brazil,2016,4
71,PCV13,Brazil,2016,3
72,PCV13,Brazil,2016,3
73,PCV13,Brazil,2016,1
74,PCV13,Brazil,2016,5
75,PCV13,Brazil,2016,2
76,PCV13,Brazil,2016,2
77,PCV13,Brazil,2016,0
78,PCV13,Brazil,2016,2
79,PCV13,Brazil,2016,0
80,PCV13,Brazil,2016,1
81,PCV13,Brazil,2016,2
82,PCV13,Brazil,2016,2
83,PCV13,Brazil,2016,1
84,PCV13,Brazil,2016,4
85,PCV13,Brazil,2016,3
86,PCV13,Brazil,2016,2
87,PCV13,Brazil,2016,1
88,PCV13,Brazil,2016,0
89,PCV13,Brazil,2016,0
90,PCV13,Brazil,2016,4
55,PCV15,Brazil,2016,3
56,PCV15,Brazil,2016,2
57,PCV15,Brazil,2016,11
58,PCV15,Brazil,2016,4
59,PCV15,Brazil,2016,6
60,PCV15,Brazil,2016,10
61,PCV15,Brazil,2016,6
62,PCV15,Brazil,2016,3
63,PCV15,Brazil,2016,2
64,PCV15,Brazil,2016,5
65,PCV15,Brazil,2016,7
66,PCV15,Brazil,2016,6
67,PCV15,Brazil,2016,3
68,PCV15,Brazil,2016,4
69,PCV15,Brazil,2016,2
70,PCV15,Brazil,2016,4
71,PCV15,Brazil,2016,3
72,PCV15,Brazil,2016,4
73,PCV15,Brazil,2016,1
74,PCV15,Brazil,2016,5
75,PCV15,Brazil,2016,2
76,PCV15,Brazil,2016,3
77,PCV15,Brazil,2016,0
78,PCV15,Brazil,2016,2
79,PCV15,Brazil,2016,0
80,PCV15,Brazil,2016,1
81,PCV15,Brazil,2016,2
82,PCV15,Brazil,2016,2
83,PCV15,Brazil,2016,1
84,PCV15,Brazil,2016,4
85,PCV15,Brazil,2016,3
86,PCV15,Brazil,2016,2
87,PCV15,Brazil,2016,1
88,PCV15,Brazil,2016,0
89,PCV15,Brazil,2016,0
90,PCV15,Brazil,2016,4
55,PCV20,Brazil,2016,5
56,PCV20,Brazil,2016,6
57,PCV20,Brazil,2016,13
58,PCV20,Brazil,2016,9
59,PCV20,Brazil,2016,8
60,PCV20,Brazil,2016,14
61,PCV20,Brazil,2016,7
62,PCV20,Brazil,2016,5
63,PCV20,Brazil,2016,5
64,PCV20,Brazil,2016,8
65,PCV20,Brazil,2016,8
66,PCV20,Brazil,2016,6
67,PCV20,Brazil,2016,5
68,PCV20,Brazil,2016,5
69,PCV20,Brazil,2016,4
70,PCV20,Brazil,2016,4
71,PCV20,Brazil,2016,3
72,PCV20,Brazil,2016,5
73,PCV20,Brazil,2016,1
74,PCV20,Brazil,2016,6
75,PCV20,Brazil,2016,2
76,PCV20,Brazil,2016,4
77,PCV20,Brazil,2016,2
78,PCV20,Brazil,2016,3
79,PCV20,Brazil,2016,0
80,PCV20,Brazil,2016,2
81,PCV20,Brazil,2016,4
82,PCV20,Brazil,2016,2
83,PCV20,Brazil,2016,1
84,PCV20,Brazil,2016,5
85,PCV20,Brazil,2016,4
86,PCV20,Brazil,2016,3
87,PCV20,Brazil,2016,1
88,PCV20,Brazil,2016,0
89,PCV20,Brazil,2016,0
90,PCV20,Brazil,2016,5
55,PPV23,Brazil,2016,6
56,PPV23,Brazil,2016,7
57,PPV23,Brazil,2016,14
58,PPV23,Brazil,2016,9
59,PPV23,Brazil,2016,8
60,PPV23,Brazil,2016,14
61,PPV23,Brazil,2016,7
62,PPV23,Brazil,2016,5
63,PPV23,Brazil,2016,6
64,PPV23,Brazil,2016,8
65,PPV23,Brazil,2016,10
66,PPV23,Brazil,2016,5
67,PPV23,Brazil,2016,5
68,PPV23,Brazil,2016,6
69,PPV23,Brazil,2016,4
70,PPV23,Brazil,2016,6
71,PPV23,Brazil,2016,3
72,PPV23,Brazil,2016,5
73,PPV23,Brazil,2016,1
