"","year","age","pcv13t","pcv20t","ppv23t","ipdt"
"1",2015,55,9,14,14,14
"2",2015,56,5,11,11,11
"3",2015,57,3,9,11,11
"4",2015,58,8,9,7,9
"5",2015,59,4,12,13,14
"6",2015,60,3,12,13,13
"7",2015,61,4,5,6,6
"8",2015,62,2,7,7,7
"9",2015,63,7,12,12,14
"10",2015,64,1,2,3,3
"11",2015,65,4,6,8,8
"12",2015,66,6,7,8,9
"13",2015,67,1,3,3,3
"14",2015,68,2,5,5,5
"15",2015,69,1,3,4,4
"16",2015,70,3,6,6,6
"17",2015,71,1,3,4,4
"18",2015,72,1,1,1,1
"19",2015,73,1,2,2,2
"20",2015,74,1,4,3,4
"21",2015,75,2,4,4,4
"22",2015,76,2,8,7,8
"23",2015,77,0,3,3,3
"24",2015,78,1,3,3,3
"25",2015,79,1,1,1,1
"26",2015,80,2,3,3,3
"27",2015,81,0,2,2,2
"28",2015,82,2,3,3,4
"29",2015,83,1,4,4,4
"30",2015,84,0,1,1,1
"31",2015,85,0,0,2,2
"32",2015,86,0,3,2,3
"33",2015,87,1,2,0,2
"34",2015,88,0,1,1,1
"35",2015,89,1,1,2,2
"36",2015,90,0,0,0,0
"37",2015,91,1,3,3,3
"38",2015,92,0,2,1,2
"39",2015,93,0,1,1,1
"40",2015,95,1,2,2,2
"41",2016,55,5,10,10,10
"42",2016,56,8,12,14,14
"43",2016,57,6,10,11,12
"44",2016,58,5,8,9,9
"45",2016,59,3,10,11,11
"46",2016,60,2,6,5,6
"47",2016,61,2,5,4,5
"48",2016,62,3,10,11,11
"49",2016,63,2,7,6,7
"50",2016,64,4,4,4,4
"51",2016,65,4,6,7,7
"52",2016,66,7,8,9,9
"53",2016,67,1,4,5,5
"54",2016,68,3,3,4,4
"55",2016,69,3,6,7,7
"56",2016,70,1,3,2,3
"57",2016,71,3,3,5,5
"58",2016,72,2,5,5,5
"59",2016,73,2,6,6,6
"60",2016,74,2,5,5,5
"61",2016,75,5,6,6,6
"62",2016,76,1,2,2,2
"63",2016,77,2,5,5,5
"64",2016,78,1,3,3,3
"65",2016,79,0,1,1,1
"66",2016,80,4,4,4,4
"67",2016,81,2,4,4,4
"68",2016,82,1,1,2,2
"69",2016,83,2,2,2,2
"70",2016,84,3,5,5,5
"71",2016,85,1,2,2,2
"72",2016,86,1,2,2,2
"73",2016,87,1,4,5,5
"74",2016,88,1,2,1,2
"75",2016,89,0,0,0,0
"76",2016,98,1,1,1,1
"77",2016,115,0,0,0,0
"78",2017,55,4,9,8,9
"79",2017,56,6,13,13,15
"80",2017,57,6,13,13,14
"81",2017,58,3,8,8,8
"82",2017,59,1,10,10,10
"83",2017,60,5,8,9,9
"84",2017,61,1,5,5,5
"85",2017,62,2,4,5,5
"86",2017,63,3,4,6,6
"87",2017,64,1,6,6,6
"88",2017,65,4,6,6,7
"89",2017,66,3,7,6,7
"90",2017,67,5,8,8,8
"91",2017,68,5,7,7,8
"92",2017,69,2,5,5,5
"93",2017,70,3,7,8,8
"94",2017,71,2,8,8,8
"95",2017,72,3,5,4,5
"96",2017,73,1,1,1,1
"97",2017,74,1,1,1,1
"98",2017,75,4,5,5,5
"99",2017,76,3,7,7,7
"100",2017,77,0,2,1,2
"101",2017,78,0,1,1,1
"102",2017,79,1,1,1,1
"103",2017,80,2,4,4,4
"104",2017,81,2,5,5,5
"105",2017,82,1,2,2,2
"106",2017,83,0,1,1,1
"107",2017,84,0,3,3,3
"108",2017,85,0,2,1,2
"109",2017,86,0,0,0,0
"110",2017,87,1,1,1,1
"111",2017,88,1,1,1,1
"112",2017,89,0,1,1,1
"113",2017,90,0,1,2,2
"114",2017,93,0,1,1,1
"115",2018,55,5,6,6,6
"116",2018,56,0,3,3,3
"117",2018,57,4,7,8,8
"118",2018,58,1,7,7,7
"119",2018,59,1,4,5,5
"120",2018,60,3,5,4,5
"121",2018,61,1,4,5,5
"122",2018,62,4,6,6,6
"123",2018,63,2,3,3,3
"124",2018,64,4,6,6,6
"125",2018,65,1,3,4,4
"126",2018,66,6,9,7,9
"127",2018,67,0,3,4,4
"128",2018,68,5,9,9,9
"129",2018,69,2,11,11,13
"130",2018,70,0,2,2,2
"131",2018,71,2,4,4,4
"132",2018,72,2,3,3,3
"133",2018,73,2,3,3,3
"134",2018,74,1,2,2,2
"135",2018,75,2,4,3,4
"136",2018,76,0,2,1,2
"137",2018,77,2,3,2,3
"138",2018,78,2,3,3,3
"139",2018,79,1,3,3,3
"140",2018,80,3,7,8,9
"141",2018,81,2,3,3,3
"142",2018,82,0,1,1,1
"143",2018,83,1,4,4,4
"144",2018,84,0,0,0,0
"145",2018,85,1,1,1,1
"146",2018,86,1,3,3,3
"147",2018,87,1,1,1,1
"148",2018,88,0,1,1,1
"149",2018,90,1,1,1,1
"150",2018,94,1,2,2,2
