country,Vac.age,2.50%,50%,97.50%
Brazil,55,20.7,30.4,43.9
Brazil,60,19.2,27.1,37.6
Brazil,65,15.2,20.8,28.1
Brazil,70,11.2,15.2,19.8
Brazil,75,7.6,10.3,13.3
Brazil,80,4.6,6.3,8.3
Brazil,85,2.1,2.8,3.8
England,55,5.9,9.2,13.6
England,60,7.2,10.6,14.8
England,65,8.4,11.6,15.7
England,70,10.2,13.6,17.4
England,75,8.4,10.8,14.0
England,80,6.9,9.0,11.6
England,85,4.4,5.9,7.7
Malawi,55,6.2,30.1,139.1
Malawi,60,7.3,29.1,105.1
Malawi,65,6.1,20.8,61.6
Malawi,70,5.4,16.6,42.9
Malawi,75,2.5,7.8,19.9
Malawi,80,1.3,4.5,13.3
Malawi,85,0.6,2.3,7.9
South Africa,55,13.1,19.6,29.9
South Africa,60,13.3,18.9,27.3
South Africa,65,11.3,15.2,20.9
South Africa,70,8.1,10.8,14.1
South Africa,75,5.8,7.6,9.8
South Africa,80,3.6,4.9,6.2
South Africa,85,1.8,2.5,3.2
