country,serogroup,age_dep,Waning,Vac.age,2.5%,50%,97.5%
Brazil,PCV13,FALSE,Fast waning,55,22.76333933451308,24.73347139764631,26.688186643305134
England,PCV13,FALSE,Fast waning,55,4.877167444879413,5.258680898333395,5.6257257478498115
Malawi,PCV13,FALSE,Fast waning,55,17.023691534091252,18.542663512110884,20.07825320226831
South Africa,PCV13,FALSE,Fast waning,55,13.814653544777931,15.045114213509777,16.303005319888996
Brazil,PCV13,FALSE,Fast waning,60,20.3228592886214,22.08417323392051,23.852544181734086
England,PCV13,FALSE,Fast waning,60,6.042664644837484,6.523824865994813,6.9833519924449945
Malawi,PCV13,FALSE,Fast waning,60,13.952408412241327,15.205705152561581,16.503070406213762
South Africa,PCV13,FALSE,Fast waning,60,11.299797895164284,12.319389009606837,13.370440451541521
Brazil,PCV13,FALSE,Fast waning,65,17.426165727787872,18.965146291656467,20.54416059317073
England,PCV13,FALSE,Fast waning,65,7.422497570778161,8.02367164636733,8.604165428309155
Malawi,PCV13,FALSE,Fast waning,65,11.301542544396463,12.414866849327126,13.588766140091147
South Africa,PCV13,FALSE,Fast waning,65,8.729404623066454,9.544495760797627,10.380092051626285
Brazil,PCV13,FALSE,Fast waning,70,13.092111921472755,14.380882980067957,15.700523283979939
England,PCV13,FALSE,Fast waning,70,6.876037826516926,7.50026881453532,8.109140821724232
Malawi,PCV13,FALSE,Fast waning,70,7.059819955618153,7.815244495330294,8.611061364392057
South Africa,PCV13,FALSE,Fast waning,70,5.953037928593726,6.543557352354588,7.170328085452747
Brazil,PCV13,FALSE,Fast waning,75,8.712353833742462,9.721529645551648,10.80800654519708
England,PCV13,FALSE,Fast waning,75,5.435314856368828,6.046843040251609,6.652849993553521
Malawi,PCV13,FALSE,Fast waning,75,4.161191242470177,4.660751001045142,5.199030934105737
South Africa,PCV13,FALSE,Fast waning,75,3.8082266892330243,4.257899599029967,4.745748080778811
Brazil,PCV13,FALSE,Fast waning,80,4.726175183223293,5.4279179227360075,6.212844700340899
England,PCV13,FALSE,Fast waning,80,3.833599150274503,4.37797925736874,4.980637582816471
Malawi,PCV13,FALSE,Fast waning,80,2.056889061534215,2.358466845250182,2.6873123504991994
South Africa,PCV13,FALSE,Fast waning,80,1.933390934120558,2.223572548317293,2.543948296200126
Brazil,PCV13,FALSE,Fast waning,85,0.5109511296361005,0.7425336927704383,0.9963063222025395
England,PCV13,FALSE,Fast waning,85,0.5248794157588288,0.7627748100296142,1.023465161309918
Malawi,PCV13,FALSE,Fast waning,85,0.2587039732307308,0.3759584927705518,0.5044482518166896
South Africa,PCV13,FALSE,Fast waning,85,0.20991403482531737,0.30505509118689045,0.40931249171414186
