serogroup,country,Vac.age,Study.waning,age_dep,Waning,data,2.5%,50%,97.5%
PCV20,Brazil,55,Andrews et al. (2012),FALSE,Fast waning,,13.743973060528397,21.03490460964313,28.558423294777388
PCV20,Brazil,60,Andrews et al. (2012),FALSE,Fast waning,,13.567896248160755,20.82851561621979,28.67641432996844
PCV20,Brazil,65,Andrews et al. (2012),FALSE,Fast waning,,13.260669001407072,20.298255406349213,28.033151274940277
PCV20,Brazil,70,Andrews et al. (2012),FALSE,Fast waning,,13.45743788582237,20.69227616236155,28.926617516541445
PCV20,Brazil,75,Andrews et al. (2012),FALSE,Fast waning,,13.774900630301651,21.330412364263676,29.824839120764537
PCV20,Brazil,80,Andrews et al. (2012),FALSE,Fast waning,,14.661216585968527,22.90840348239938,32.45979826271728
PCV20,Brazil,85,Andrews et al. (2012),FALSE,Fast waning,,15.592130752939134,24.731785267232546,35.65855560597642
PCV20,South Africa,55,Andrews et al. (2012),FALSE,Fast waning,,4.09576297257313,6.149307200075768,8.40062932254105
PCV20,South Africa,60,Andrews et al. (2012),FALSE,Fast waning,,4.0822547210864455,6.072942360047328,8.303250902007946
PCV20,South Africa,65,Andrews et al. (2012),FALSE,Fast waning,,3.880740774992399,5.790180381003373,7.911024526561676
PCV20,South Africa,70,Andrews et al. (2012),FALSE,Fast waning,,3.4958269066561876,5.237800713909046,7.107552267672827
PCV20,South Africa,75,Andrews et al. (2012),FALSE,Fast waning,,3.4593423582714657,5.208381059441935,7.104549675593592
PCV20,South Africa,80,Andrews et al. (2012),FALSE,Fast waning,,3.535078845816185,5.341394683164573,7.3686081796593745
PCV20,South Africa,85,Andrews et al. (2012),FALSE,Fast waning,,3.8817666897076197,5.965823119750674,8.317282486981647
PCV20,Malawi,55,Andrews et al. (2012),FALSE,Fast waning,,0.0269357073862057,0.05673787312540753,0.11827481834223018
PCV20,Malawi,60,Andrews et al. (2012),FALSE,Fast waning,,0.029723964296457638,0.06356798232284469,0.13261842934704418
PCV20,Malawi,65,Andrews et al. (2012),FALSE,Fast waning,,0.026510620472056715,0.05967789962806051,0.12506126877364765
PCV20,Malawi,70,Andrews et al. (2012),FALSE,Fast waning,,0.027200912538828476,0.06694883386113626,0.146801549983099
PCV20,Malawi,75,Andrews et al. (2012),FALSE,Fast waning,,0.017735059322028773,0.04810316196808484,0.114724118340671
PCV20,Malawi,80,Andrews et al. (2012),FALSE,Fast waning,,0.01662235098171752,0.05003499507573676,0.12953528466403724
PCV20,Malawi,85,Andrews et al. (2012),FALSE,Fast waning,,0.017895647711984108,0.06120818016195146,0.17789371784310312
PCV20,England,55,Andrews et al. (2012),FALSE,Fast waning,,3.0368557520709265,4.578358417059562,6.154568232516202
PCV20,England,60,Andrews et al. (2012),FALSE,Fast waning,,3.618478602809828,5.473489790935865,7.3017266462408985
PCV20,England,65,Andrews et al. (2012),FALSE,Fast waning,,4.735162236819057,7.141040619331496,9.554125107697207
PCV20,England,70,Andrews et al. (2012),FALSE,Fast waning,,7.098403077896248,10.687976422604752,14.382314320534485
PCV20,England,75,Andrews et al. (2012),FALSE,Fast waning,,7.89463863529948,11.89252938731846,16.103136885051967
PCV20,England,80,Andrews et al. (2012),FALSE,Fast waning,,10.490354570553842,15.920804924667362,21.728306532361447
PCV20,England,85,Andrews et al. (2012),FALSE,Fast waning,,14.85667459917141,22.776232300370474,31.509694086805975
