country,serogroup,Vac.age,Waning,Age dep.,Impact
Brazil,PPV23,55,Fast waning,FALSE,"22.0% (22.0%, 22.0%)"
Brazil,PPV23,60,Fast waning,FALSE,"19.7% (19.7%, 19.7%)"
Brazil,PPV23,65,Fast waning,FALSE,"16.9% (16.9%, 16.9%)"
Brazil,PPV23,70,Fast waning,FALSE,"14.5% (14.5%, 14.5%)"
Brazil,PPV23,75,Fast waning,FALSE,"11.9% (11.9%, 11.9%)"
Brazil,PPV23,80,Fast waning,FALSE,"9.3% (9.3%, 9.3%)"
Brazil,PPV23,85,Fast waning,FALSE,"5.8% (5.8%, 5.8%)"
England,PPV23,55,Fast waning,FALSE,"9.2% (9.2%, 9.2%)"
England,PPV23,60,Fast waning,FALSE,"10.5% (10.5%, 10.5%)"
England,PPV23,65,Fast waning,FALSE,"12.8% (12.8%, 12.8%)"
England,PPV23,70,Fast waning,FALSE,"17.4% (17.4%, 17.4%)"
England,PPV23,75,Fast waning,FALSE,"16.8% (16.8%, 16.8%)"
England,PPV23,80,Fast waning,FALSE,"17.5% (17.5%, 17.5%)"
England,PPV23,85,Fast waning,FALSE,"15.7% (15.7%, 15.7%)"
Malawi,PPV23,55,Fast waning,FALSE,"22.7% (22.7%, 22.7%)"
Malawi,PPV23,60,Fast waning,FALSE,"22.1% (22.1%, 22.1%)"
Malawi,PPV23,65,Fast waning,FALSE,"18.1% (18.1%, 18.1%)"
Malawi,PPV23,70,Fast waning,FALSE,"16.4% (16.4%, 16.4%)"
Malawi,PPV23,75,Fast waning,FALSE,"9.2% (9.2%, 9.2%)"
Malawi,PPV23,80,Fast waning,FALSE,"6.8% (6.8%, 6.8%)"
Malawi,PPV23,85,Fast waning,FALSE,"4.8% (4.8%, 4.8%)"
South Africa,PPV23,55,Fast waning,FALSE,"23.0% (23.0%, 23.0%)"
South Africa,PPV23,60,Fast waning,FALSE,"20.9% (20.9%, 20.9%)"
South Africa,PPV23,65,Fast waning,FALSE,"17.7% (17.7%, 17.7%)"
South Africa,PPV23,70,Fast waning,FALSE,"13.7% (13.7%, 13.7%)"
South Africa,PPV23,75,Fast waning,FALSE,"11.0% (11.0%, 11.0%)"
South Africa,PPV23,80,Fast waning,FALSE,"8.3% (8.3%, 8.3%)"
South Africa,PPV23,85,Fast waning,FALSE,"5.4% (5.4%, 5.4%)"
