country,serogroup,Waning,Age dep.,Impact
Brazil,PCV13,Fast waning,TRUE,"19.1% (19.1%, 19.1%)"
Brazil,PCV13,Slow waning,TRUE,"19.1% (19.1%, 19.1%)"
Brazil,PCV15,Fast waning,TRUE,"20.7% (20.7%, 20.7%)"
Brazil,PCV15,Slow waning,TRUE,"20.7% (20.7%, 20.7%)"
Brazil,PCV20,Fast waning,TRUE,"28.6% (28.6%, 28.6%)"
Brazil,PCV20,Slow waning,TRUE,"28.6% (28.6%, 28.6%)"
Brazil,PPV23,Fast waning,TRUE,"31.5% (31.5%, 31.5%)"
Brazil,PPV23,Slow waning,TRUE,"31.5% (31.5%, 31.5%)"
England,PCV13,Fast waning,TRUE,"9.7% (9.7%, 9.7%)"
England,PCV13,Slow waning,TRUE,"9.7% (9.7%, 9.7%)"
England,PCV15,Fast waning,TRUE,"14.7% (14.7%, 14.7%)"
England,PCV15,Slow waning,TRUE,"14.7% (14.7%, 14.7%)"
England,PCV20,Fast waning,TRUE,"35.7% (35.7%, 35.7%)"
England,PCV20,Slow waning,TRUE,"35.7% (35.7%, 35.7%)"
England,PPV23,Fast waning,TRUE,"40.0% (40.0%, 40.0%)"
England,PPV23,Slow waning,TRUE,"40.0% (40.0%, 40.0%)"
Malawi,PCV13,Fast waning,TRUE,"14.4% (14.4%, 14.4%)"
Malawi,PCV13,Slow waning,TRUE,"14.4% (14.4%, 14.4%)"
Malawi,PCV15,Fast waning,TRUE,"17.0% (17.0%, 17.0%)"
Malawi,PCV15,Slow waning,TRUE,"17.0% (17.0%, 17.0%)"
Malawi,PCV20,Fast waning,TRUE,"33.6% (33.6%, 33.6%)"
Malawi,PCV20,Slow waning,TRUE,"33.6% (33.6%, 33.6%)"
Malawi,PPV23,Fast waning,TRUE,"35.0% (35.0%, 35.0%)"
Malawi,PPV23,Slow waning,TRUE,"35.0% (35.0%, 35.0%)"
South Africa,PCV13,Fast waning,TRUE,"15.1% (15.1%, 15.1%)"
South Africa,PCV13,Slow waning,TRUE,"15.1% (15.1%, 15.1%)"
South Africa,PCV15,Fast waning,TRUE,"16.8% (16.8%, 16.8%)"
South Africa,PCV15,Slow waning,TRUE,"16.8% (16.8%, 16.8%)"
South Africa,PCV20,Fast waning,TRUE,"33.6% (33.6%, 33.6%)"
South Africa,PCV20,Slow waning,TRUE,"33.6% (33.6%, 33.6%)"
South Africa,PPV23,Fast waning,TRUE,"34.5% (34.5%, 34.5%)"
South Africa,PPV23,Slow waning,TRUE,"34.5% (34.5%, 34.5%)"
