country,serogroup,Vac.age,2.50%,50%,97.50%
Brazil,PCV13,55,24.7,38.4,61.5
Brazil,PCV13,70,16.5,21.7,28.7
Brazil,PCV15,55,27.8,43.8,65.0
Brazil,PCV15,70,18.4,23.5,30.3
Brazil,PCV20,55,42.7,61.3,89.2
Brazil,PCV20,70,25.1,32.0,40.4
Brazil,PPV23,55,20.6,30.1,43.5
Brazil,PPV23,70,11.2,15.2,20.0
England,PCV13,55,2.5,4.4,7.7
England,PCV13,70,6.2,8.3,11.1
England,PCV15,55,3.9,6.6,11.0
England,PCV15,70,9.5,12.6,17.0
England,PCV20,55,13.3,19.2,29.2
England,PCV20,70,21.6,27.2,34.5
England,PPV23,55,6.2,9.3,13.7
England,PPV23,70,10.4,13.6,17.6
Malawi,PCV13,55,5.7,30.9,140.0
Malawi,PCV13,70,5.5,16.1,46.0
Malawi,PCV15,55,6.4,32.2,150.3
Malawi,PCV15,70,6.0,17.9,50.0
Malawi,PCV20,55,13.0,64.5,312.2
Malawi,PCV20,70,11.7,37.3,99.0
Malawi,PPV23,55,5.7,28.5,130.3
Malawi,PPV23,70,5.5,15.8,43.1
South Africa,PCV13,55,17.8,26.7,40.8
South Africa,PCV13,70,8.6,11.0,13.9
South Africa,PCV15,55,18.6,29.7,48.7
South Africa,PCV15,70,10.0,12.9,17.2
South Africa,PCV20,55,39.7,53.1,73.2
South Africa,PCV20,70,18.9,23.2,28.4
South Africa,PPV23,55,13.0,19.8,29.2
South Africa,PPV23,70,8.1,10.8,13.8
