country,serogroup,Waning,Vac.age,2.50%,50%,97.50%
Brazil,PCV20,Fast waning,55,42.71977903,61.31859185,89.24031458
Brazil,PCV20,Slow waning,55,55.02302522,78.9543735,114.259395
Brazil,PPV23,Fast waning,55,20.56732871,30.06826571,43.53240358
Brazil,PPV23,Slow waning,55,29.00001755,40.69496182,57.09317943
England,PCV20,Fast waning,55,13.26445453,19.24575438,29.23459032
England,PCV20,Slow waning,55,17.07538975,24.82429844,37.38408363
England,PPV23,Fast waning,55,6.196874055,9.345691124,13.69115572
England,PPV23,Slow waning,55,8.325308936,12.39859464,18.55304418
Malawi,PCV20,Fast waning,55,12.98883944,64.49070652,312.2413438
Malawi,PCV20,Slow waning,55,16.69149743,82.98360534,400.5631783
Malawi,PPV23,Fast waning,55,5.696795723,28.54813158,130.324715
Malawi,PPV23,Slow waning,55,8.001422387,38.55916515,177.246593
South Africa,PCV20,Fast waning,55,39.7047817,53.09035551,73.21687998
South Africa,PCV20,Slow waning,55,51.20666245,68.2035072,93.76242866
South Africa,PPV23,Fast waning,55,12.97742589,19.78293856,29.23892935
South Africa,PPV23,Slow waning,55,18.19421632,26.40741008,38.33001082
Brazil,PCV20,Fast waning,70,25.07697529,32.00744041,40.43523956
Brazil,PCV20,Slow waning,70,31.20487973,39.79893855,50.1574299
Brazil,PPV23,Fast waning,70,11.21933275,15.16381241,20.01651512
Brazil,PPV23,Slow waning,70,15.33483062,19.45664788,24.98214643
England,PCV20,Fast waning,70,21.64898548,27.2090825,34.49443095
England,PCV20,Slow waning,70,27.00343774,33.85087965,42.48435839
England,PPV23,Fast waning,70,10.38374714,13.55468241,17.58304371
England,PPV23,Slow waning,70,13.77034291,17.47115894,21.98532801
Malawi,PCV20,Fast waning,70,11.70730632,37.30799454,98.96543083
Malawi,PCV20,Slow waning,70,14.52124111,46.42726871,122.6816081
Malawi,PPV23,Fast waning,70,5.48058766,15.84499221,43.05559306
Malawi,PPV23,Slow waning,70,7.472870799,20.70310242,54.60791512
South Africa,PCV20,Fast waning,70,18.85293459,23.15296878,28.40912743
South Africa,PCV20,Slow waning,70,23.3838127,28.75855764,35.36213484
South Africa,PPV23,Fast waning,70,8.068050699,10.75286051,13.82565062
South Africa,PPV23,Slow waning,70,10.95810305,13.83259811,17.32594824
