serogroup,Waning,age_dep,Vac.age,country,2.5%,50%,97.5%
PPV23,Fast waning,FALSE,55,Brazil,16621.12563634407,19564.77796077334,23706.59826661473
PPV23,Fast waning,FALSE,55,England,681.8646583573652,821.5537501726496,1028.2918114916988
PPV23,Fast waning,FALSE,55,Malawi,986.766982287816,1158.8580152637333,1395.3215035763924
PPV23,Fast waning,FALSE,55,South Africa,6402.058558099697,7559.701833233298,9150.007083233711
PPV23,Fast waning,FALSE,60,Brazil,15139.051121481094,17775.82248891595,21391.64475352285
PPV23,Fast waning,FALSE,60,England,501.8486079996875,606.3658194137158,755.803160761501
PPV23,Fast waning,FALSE,60,Malawi,1082.8879592695328,1269.1063980096205,1520.9829132040895
PPV23,Fast waning,FALSE,60,South Africa,5686.055093123189,6682.182077166222,8050.071348735773
PPV23,Fast waning,FALSE,65,Brazil,13741.294691957632,16128.678475511042,19346.04009778717
PPV23,Fast waning,FALSE,65,England,399.67016019695416,478.2457192731781,588.8906557245552
PPV23,Fast waning,FALSE,65,Malawi,1002.4995224039346,1169.2407226325738,1393.567415614449
PPV23,Fast waning,FALSE,65,South Africa,5005.759234636731,5866.401939519075,7056.606643550712
PPV23,Fast waning,FALSE,70,Brazil,13803.734269898509,16242.522421665779,19482.561487978503
PPV23,Fast waning,FALSE,70,England,437.8567781990586,519.1628098023418,633.835040802166
PPV23,Fast waning,FALSE,70,Malawi,1296.0566156732962,1513.6293771830906,1799.6834835276584
PPV23,Fast waning,FALSE,70,South Africa,4581.818918866288,5410.149608579812,6504.011966833961
PPV23,Fast waning,FALSE,75,Brazil,14800.530149793167,17376.262780853565,20986.02700556288
PPV23,Fast waning,FALSE,75,England,400.4373683278344,477.4060912986847,592.0548975157922
PPV23,Fast waning,FALSE,75,Malawi,1120.618764261471,1315.429076419427,1579.5678098391395
PPV23,Fast waning,FALSE,75,South Africa,4582.174562904875,5401.844289174918,6510.318106363655
PPV23,Fast waning,FALSE,80,Brazil,17248.411004542642,20164.5042198932,24380.08624286804
PPV23,Fast waning,FALSE,80,England,423.0587696813356,496.9705529969714,606.2740781098629
PPV23,Fast waning,FALSE,80,Malawi,1432.8908217393275,1682.2766025816463,2044.9086767036968
PPV23,Fast waning,FALSE,80,South Africa,5125.2253709929355,6000.660897176129,7286.062664793399
PPV23,Fast waning,FALSE,85,Brazil,49647.44657168778,63554.14480049,90132.83344581284
PPV23,Fast waning,FALSE,85,England,1170.3418257324186,1498.1651423153824,2124.705944364997
PPV23,Fast waning,FALSE,85,Malawi,4099.958410636605,5248.393794620231,7443.300594061265
PPV23,Fast waning,FALSE,85,South Africa,14299.921777156835,18305.459031993276,25960.90145275748
