country,serogroup,Vac.age,Waning,Age dep.,Impact
Brazil,PPV23,55,Fast waning,FALSE,"9.4% (9.4%, 9.4%)"
Brazil,PPV23,60,Fast waning,FALSE,"10.7% (10.7%, 10.7%)"
Brazil,PPV23,65,Fast waning,FALSE,"12.1% (12.1%, 12.1%)"
Brazil,PPV23,70,Fast waning,FALSE,"13.8% (13.8%, 13.8%)"
Brazil,PPV23,75,Fast waning,FALSE,"15.7% (15.7%, 15.7%)"
Brazil,PPV23,80,Fast waning,FALSE,"17.8% (17.8%, 17.8%)"
Brazil,PPV23,85,Fast waning,FALSE,"20.3% (20.3%, 20.3%)"
England,PPV23,55,Fast waning,FALSE,"5.0% (5.0%, 5.0%)"
England,PPV23,60,Fast waning,FALSE,"6.7% (6.7%, 6.7%)"
England,PPV23,65,Fast waning,FALSE,"9.0% (9.0%, 9.0%)"
England,PPV23,70,Fast waning,FALSE,"12.1% (12.1%, 12.1%)"
England,PPV23,75,Fast waning,FALSE,"16.2% (16.2%, 16.2%)"
England,PPV23,80,Fast waning,FALSE,"21.7% (21.7%, 21.7%)"
England,PPV23,85,Fast waning,FALSE,"29.3% (29.3%, 29.3%)"
Malawi,PPV23,55,Fast waning,FALSE,"10.5% (10.5%, 10.5%)"
Malawi,PPV23,60,Fast waning,FALSE,"11.6% (11.6%, 11.6%)"
Malawi,PPV23,65,Fast waning,FALSE,"12.8% (12.8%, 12.8%)"
Malawi,PPV23,70,Fast waning,FALSE,"14.2% (14.2%, 14.2%)"
Malawi,PPV23,75,Fast waning,FALSE,"15.4% (15.4%, 15.4%)"
Malawi,PPV23,80,Fast waning,FALSE,"16.9% (16.9%, 16.9%)"
Malawi,PPV23,85,Fast waning,FALSE,"18.6% (18.6%, 18.6%)"
South Africa,PPV23,55,Fast waning,FALSE,"9.4% (9.4%, 9.4%)"
South Africa,PPV23,60,Fast waning,FALSE,"10.7% (10.7%, 10.7%)"
South Africa,PPV23,65,Fast waning,FALSE,"12.2% (12.2%, 12.2%)"
South Africa,PPV23,70,Fast waning,FALSE,"13.8% (13.8%, 13.8%)"
South Africa,PPV23,75,Fast waning,FALSE,"15.8% (15.8%, 15.8%)"
South Africa,PPV23,80,Fast waning,FALSE,"17.9% (17.9%, 17.9%)"
South Africa,PPV23,85,Fast waning,FALSE,"20.3% (20.3%, 20.3%)"
