country,serogroup,Waning,Impact
Brazil,PCV13,Fast waning,"19.1% (19.1%, 19.1%)"
Brazil,PCV13,Slow waning,"20.8% (20.5%, 21.1%)"
Brazil,PCV15,Fast waning,"20.7% (20.7%, 20.7%)"
Brazil,PCV15,Slow waning,"22.5% (22.2%, 22.9%)"
Brazil,PCV20,Fast waning,"28.7% (28.7%, 28.7%)"
Brazil,PCV20,Slow waning,"31.3% (30.8%, 31.8%)"
Brazil,PPV23,Fast waning,"31.6% (31.6%, 31.6%)"
Brazil,PPV23,Slow waning,"25.4% (24.2%, 26.5%)"
England,PCV13,Fast waning,"9.8% (9.8%, 9.8%)"
England,PCV13,Slow waning,"11.0% (10.7%, 11.2%)"
England,PCV15,Fast waning,"14.7% (14.7%, 14.7%)"
England,PCV15,Slow waning,"16.5% (16.1%, 16.8%)"
England,PCV20,Fast waning,"35.4% (35.4%, 35.4%)"
England,PCV20,Slow waning,"39.5% (38.8%, 40.3%)"
England,PPV23,Fast waning,"40.1% (40.1%, 40.1%)"
England,PPV23,Slow waning,"33.1% (31.7%, 34.4%)"
Malawi,PCV13,Fast waning,"14.5% (14.5%, 14.5%)"
Malawi,PCV13,Slow waning,"15.9% (15.7%, 16.2%)"
Malawi,PCV15,Fast waning,"17.1% (17.1%, 17.1%)"
Malawi,PCV15,Slow waning,"18.8% (18.5%, 19.1%)"
Malawi,PCV20,Fast waning,"34.1% (34.1%, 34.1%)"
Malawi,PCV20,Slow waning,"37.4% (36.8%, 38.1%)"
Malawi,PPV23,Fast waning,"34.4% (34.4%, 34.4%)"
Malawi,PPV23,Slow waning,"27.9% (26.6%, 29.1%)"
South Africa,PCV13,Fast waning,"15.0% (15.0%, 15.0%)"
South Africa,PCV13,Slow waning,"16.5% (16.2%, 16.8%)"
South Africa,PCV15,Fast waning,"17.1% (17.1%, 17.1%)"
South Africa,PCV15,Slow waning,"18.7% (18.4%, 19.1%)"
South Africa,PCV20,Fast waning,"33.6% (33.6%, 33.6%)"
South Africa,PCV20,Slow waning,"36.9% (36.3%, 37.5%)"
South Africa,PPV23,Fast waning,"34.3% (34.3%, 34.3%)"
South Africa,PPV23,Slow waning,"27.9% (26.6%, 29.1%)"
